fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Ilia Topuria,Justin Gaethje,PMU (FR),Under,1.5,2.02,2026-05-21,2026-06-15
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,2.0,2026-05-21,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.76,2026-05-21,2026-07-12
Alex Pereira,Ciryl Gane,1xBet,Over,2.5,1.8,2026-05-22,2026-06-15
Alex Pereira,Ciryl Gane,1xBet,Under,2.5,2.0,2026-05-22,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Over,2.5,1.81,2026-05-22,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Under,2.5,1.93,2026-05-22,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Over,1.5,1.67,2026-05-22,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Under,1.5,2.2,2026-05-22,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Over,1.5,1.75,2026-05-22,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Under,1.5,2.02,2026-05-22,2026-06-15
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,2.0,2026-05-22,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.76,2026-05-22,2026-07-12
Adam Meskini,Keweny Lopes,BetOnline.ag,Over,1.5,1.62,2026-05-23,2026-05-23
Adam Meskini,Keweny Lopes,BetOnline.ag,Under,1.5,2.4,2026-05-23,2026-05-23
Rustam Serbiev,Ashley Reece,BetOnline.ag,Over,1.5,2.05,2026-05-23,2026-05-23
Rustam Serbiev,Ashley Reece,BetOnline.ag,Under,1.5,1.8,2026-05-23,2026-05-23
Donegi Abena,Joe Schilling,BetOnline.ag,Over,1.5,3.9,2026-05-23,2026-05-23
Donegi Abena,Joe Schilling,BetOnline.ag,Under,1.5,1.27,2026-05-23,2026-05-23
Khamzat Abaev,Luca Poclit,BetOnline.ag,Over,1.5,1.8,2026-05-23,2026-05-23
Khamzat Abaev,Luca Poclit,BetOnline.ag,Under,1.5,2.05,2026-05-23,2026-05-23
Baris Adiguzel,Gustavo Oliveira,BetOnline.ag,Over,1.5,2.3,2026-05-23,2026-05-23
Baris Adiguzel,Gustavo Oliveira,BetOnline.ag,Under,1.5,1.67,2026-05-23,2026-05-23
Asael Adjoudj,Keisuke Sasu,BetOnline.ag,Over,1.5,1.67,2026-05-23,2026-05-23
Asael Adjoudj,Keisuke Sasu,BetOnline.ag,Under,1.5,2.2,2026-05-23,2026-05-23
Marcirley Alves da Silva,Naoki Inoue,BetOnline.ag,Over,1.5,1.25,2026-05-23,2026-05-23
Marcirley Alves da Silva,Naoki Inoue,BetOnline.ag,Under,1.5,4.16,2026-05-23,2026-05-23
Boris Mbarga Atangana,Jared Gooden,BetOnline.ag,Over,1.5,2.9,2026-05-23,2026-05-23
Boris Mbarga Atangana,Jared Gooden,BetOnline.ag,Under,1.5,1.42,2026-05-23,2026-05-23
Taylor Lapilus,Jake Hadley,BetOnline.ag,Over,1.5,1.2,2026-05-23,2026-05-23
Taylor Lapilus,Jake Hadley,BetOnline.ag,Under,1.5,4.75,2026-05-23,2026-05-23
Patrick Habirora,Benson Henderson,BetOnline.ag,Over,1.5,2.65,2026-05-23,2026-05-23
Patrick Habirora,Benson Henderson,BetOnline.ag,Under,1.5,1.49,2026-05-23,2026-05-23
Angela Hill,Jingnan Xiong,1xBet,Over,2.5,1.22,2026-05-23,2026-05-30
Angela Hill,Jingnan Xiong,1xBet,Under,2.5,4.0,2026-05-23,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,1xBet,Over,2.5,1.5,2026-05-23,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,1xBet,Under,2.5,2.48,2026-05-23,2026-05-30
Meng Ding,José Henrique,1xBet,Over,2.5,2.25,2026-05-23,2026-05-30
Meng Ding,José Henrique,1xBet,Under,2.5,1.6,2026-05-23,2026-05-30
Luis Felipe Dias,Yi Sak Lee,1xBet,Over,1.5,1.7,2026-05-23,2026-05-30
Luis Felipe Dias,Yi Sak Lee,1xBet,Under,1.5,2.08,2026-05-23,2026-05-30
Aori Qileng,Cody Haddon,1xBet,Over,2.5,1.52,2026-05-23,2026-05-30
Aori Qileng,Cody Haddon,1xBet,Under,2.5,2.43,2026-05-23,2026-05-30
Rodrigo Vera,Kangjie Zhu,1xBet,Over,2.5,1.4,2026-05-23,2026-05-30
Rodrigo Vera,Kangjie Zhu,1xBet,Under,2.5,2.8,2026-05-23,2026-05-30
Alex Perez,Su Mudaerji,1xBet,Over,2.5,1.6,2026-05-23,2026-05-30
Alex Perez,Su Mudaerji,1xBet,Under,2.5,2.25,2026-05-23,2026-05-30
Zhang Mingyang,Alonzo Menifield,1xBet,Over,1.5,2.36,2026-05-23,2026-05-30
Zhang Mingyang,Alonzo Menifield,1xBet,Under,1.5,1.55,2026-05-23,2026-05-30
Kai Asakura,Cameron Smotherman,1xBet,Over,2.5,1.9,2026-05-23,2026-05-30
Kai Asakura,Cameron Smotherman,1xBet,Under,2.5,1.84,2026-05-23,2026-05-30
Song Yadong,Deiveson Figueiredo,1xBet,Over,2.5,1.4,2026-05-23,2026-05-30
Song Yadong,Deiveson Figueiredo,1xBet,Under,2.5,2.8,2026-05-23,2026-05-30
Sergey Pavlovich,Tallison Teixeira,1xBet,Over,1.5,2.0,2026-05-23,2026-05-30
Sergey Pavlovich,Tallison Teixeira,1xBet,Under,1.5,1.76,2026-05-23,2026-05-30
Jake Matthews,Carlston Harris,1xBet,Over,2.5,1.98,2026-05-23,2026-05-30
Jake Matthews,Carlston Harris,1xBet,Under,2.5,1.77,2026-05-23,2026-05-30
Derrick Lewis,Josh Hokit,1xBet,Over,1.5,2.1,2026-05-23,2026-06-14
Derrick Lewis,Josh Hokit,1xBet,Under,1.5,1.73,2026-05-23,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Over,1.5,2.1,2026-05-23,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Under,1.5,1.73,2026-05-23,2026-06-14
Alex Pereira,Ciryl Gane,1xBet,Over,2.5,1.8,2026-05-23,2026-06-15
Alex Pereira,Ciryl Gane,1xBet,Under,2.5,2.0,2026-05-23,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Over,2.5,1.81,2026-05-23,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Under,2.5,1.93,2026-05-23,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Over,1.5,1.67,2026-05-23,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Under,1.5,2.2,2026-05-23,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Over,1.5,1.74,2026-05-23,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Under,1.5,2.02,2026-05-23,2026-06-15
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,1.97,2026-05-23,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.76,2026-05-23,2026-07-12
